,piece,current_position,next_position,skip,reward
229,"(255, 0, 0)","(4, 7)","(3, 6)",-,0
230,"(255, 0, 0)","(3, 6)","(2, 5)",-,0
231,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
232,"(255, 0, 0)","(3, 4)","(4, 5)",-,0
233,"(255, 0, 0)","(4, 5)","(3, 4)",-,0
234,"(255, 0, 0)","(3, 4)","(2, 5)",-,0
235,"(255, 0, 0)","(2, 5)","(3, 4)",-,0
236,"(255, 0, 0)","(3, 4)","(2, 3)",-,0
237,"(255, 0, 0)","(2, 3)","(3, 2)",-,0
238,"(255, 0, 0)","(3, 2)","(4, 1)",-,0
239,"(255, 0, 0)","(4, 1)","(3, 2)",-,0
240,"(255, 0, 0)","(3, 2)","(2, 1)",-,0
241,"(255, 0, 0)","(2, 1)","(3, 0)",-,0
242,"(255, 0, 0)","(3, 0)","(2, 1)",-,0
243,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
244,"(255, 0, 0)","(1, 2)","(2, 3)",-,0
245,"(255, 0, 0)","(2, 3)","(1, 4)",-,0
246,"(255, 0, 0)","(1, 4)","(0, 5)",-,4
247,"(255, 0, 0)","(0, 5)","(1, 4)",-,0
248,"(255, 0, 0)","(1, 4)","(0, 3)",-,4
249,"(255, 0, 0)","(0, 3)","(1, 2)",-,0
250,"(255, 0, 0)","(1, 2)","(0, 1)",-,4
251,"(255, 0, 0)","(0, 1)","(1, 0)",-,0
252,"(255, 0, 0)","(1, 0)","(2, 1)",-,0
253,"(255, 0, 0)","(2, 1)","(1, 0)",-,0
254,"(255, 0, 0)","(1, 0)","(2, 1)",-,0
255,"(255, 0, 0)","(2, 1)","(3, 0)",-,0
256,"(255, 0, 0)","(3, 0)","(2, 1)",-,0
257,"(255, 0, 0)","(2, 1)","(3, 0)",-,0
258,"(255, 0, 0)","(3, 0)","(2, 1)",-,0
259,"(255, 0, 0)","(2, 1)","(1, 2)",-,0
260,"(255, 0, 0)","(1, 2)","(0, 3)",-,4
