,piece,current_position,next_position,skip,reward
370,"(255, 255, 255)","(5, 0)","(6, 1)",-,0
371,"(255, 255, 255)","(6, 1)","(5, 2)",-,0
372,"(255, 255, 255)","(1, 2)","(3, 4)","[(255, 0, 0)]",40
373,"(255, 255, 255)","(3, 4)","(4, 3)",-,0
374,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
375,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
376,"(255, 255, 255)","(6, 3)","(5, 4)",-,0
377,"(255, 255, 255)","(5, 2)","(6, 1)",-,0
378,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
379,"(255, 255, 255)","(4, 1)","(5, 0)",-,0
380,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
381,"(255, 255, 255)","(4, 3)","(5, 4)",-,0
382,"(255, 255, 255)","(7, 0)","(6, 1)",-,0
383,"(255, 255, 255)","(1, 0)","(2, 1)",-,0
384,"(255, 255, 255)","(6, 5)","(7, 4)",-,4
385,"(255, 255, 255)","(7, 4)","(6, 5)",-,0
386,"(255, 255, 255)","(6, 5)","(5, 6)",-,0
387,"(255, 255, 255)","(5, 4)","(6, 3)",-,0
388,"(255, 255, 255)","(5, 6)","(6, 5)",-,0
389,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
390,"(255, 255, 255)","(7, 2)","(6, 1)",-,0
391,"(255, 255, 255)","(6, 3)","(7, 2)",-,4
392,"(255, 255, 255)","(2, 1)","(3, 0)",-,0
393,"(255, 255, 255)","(3, 0)","(4, 1)",-,0
394,"(255, 255, 255)","(6, 5)","(5, 6)",-,0
395,"(255, 255, 255)","(5, 6)","(4, 7)",-,0
396,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
397,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
398,"(255, 255, 255)","(7, 0)","(6, 1)",-,0
399,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
400,"(255, 255, 255)","(6, 3)","(5, 2)",-,0
401,"(255, 255, 255)","(7, 0)","(6, 1)",-,0
402,"(255, 255, 255)","(4, 7)","(5, 6)",-,0
403,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
404,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
405,"(255, 255, 255)","(5, 6)","(4, 7)",-,0
406,"(255, 255, 255)","(4, 7)","(3, 6)",-,0
407,"(255, 255, 255)","(3, 6)","(4, 7)",-,0
408,"(255, 255, 255)","(5, 0)","(6, 1)",-,0
409,"(255, 255, 255)","(4, 7)","(3, 6)",-,0
410,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
411,"(255, 255, 255)","(3, 6)","(4, 5)",-,0
412,"(255, 255, 255)","(4, 5)","(3, 6)",-,0
413,"(255, 255, 255)","(4, 1)","(5, 0)",-,0
414,"(255, 255, 255)","(3, 6)","(4, 5)",-,0
415,"(255, 255, 255)","(4, 5)","(5, 4)",-,0
416,"(255, 255, 255)","(5, 2)","(4, 3)",-,0
417,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
418,"(255, 255, 255)","(6, 1)","(7, 0)",-,4
419,"(255, 255, 255)","(5, 4)","(4, 5)",-,0
420,"(255, 255, 255)","(4, 3)","(3, 4)",-,0
421,"(255, 255, 255)","(4, 5)","(5, 4)",-,0
422,"(255, 255, 255)","(5, 0)","(6, 1)",-,0
423,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
424,"(255, 255, 255)","(6, 5)","(5, 4)",-,0
425,"(255, 255, 255)","(6, 3)","(5, 2)",-,0
426,"(255, 255, 255)","(5, 4)","(6, 3)",-,0
427,"(255, 255, 255)","(6, 3)","(7, 4)",-,4
428,"(255, 255, 255)","(6, 1)","(7, 2)",-,4
429,"(255, 255, 255)","(7, 4)","(6, 3)",-,0
430,"(255, 255, 255)","(6, 3)","(5, 4)",-,0
431,"(255, 255, 255)","(5, 4)","(6, 5)",-,0
432,"(255, 255, 255)","(5, 2)","(6, 1)",-,0
433,"(255, 255, 255)","(7, 2)","(6, 3)",-,0
434,"(255, 255, 255)","(6, 5)","(7, 6)",-,4
435,"(255, 255, 255)","(6, 3)","(5, 4)",-,0
436,"(255, 255, 255)","(5, 4)","(4, 3)",-,0
437,"(255, 255, 255)","(7, 6)","(6, 7)",-,0
438,"(255, 255, 255)","(4, 3)","(3, 4)",-,0
